Title,Price,Date
"Panasonic LUMIX GH5M2, 20.3MP Mirrorless Micro Four Thirds Camera with Live Streaming, 4K 4:2:2 10-Bit Video, 5-Axis Image Stabilizer, 12-60mm F2.8-4.0 Leica Lens DC-GH5M2LK",{},2023-02-09
"Panasonic LUMIX GH5M2, 20.3MP Mirrorless Micro Four Thirds Camera with Live Streaming, 4K 4:2:2 10-Bit Video, 5-Axis Image Stabilizer, 12-60mm F2.8-4.0 Leica Lens DC-GH5M2LK",{},2023-02-09
